id,airline,flight_number,departure_airport,arrival_airport,departure_time,arrival_time,departure_gate,arrival_gate
32353,VX,927,LAX,SFO,2024-06-19 10:47:00,2024-06-19 11:56:00,A38,E15
32354,DL,2761,SFO,LAX,2024-06-19 11:00:00,2024-06-19 12:44:00,A38,E21
32355,UA,256,SFO,AUS,2024-06-19 11:07:00,2024-06-19 16:37:00,E39,C13
32356,DL,2375,SLC,SFO,2024-06-19 11:06:00,2024-06-19 11:56:00,E3,E13
32357,DL,2758,LAX,SFO,2024-06-19 11:23:00,2024-06-19 13:57:00,D45,A49
32358,AA,1145,SFO,ORD,2024-06-19 11:09:00,2024-06-19 17:21:00,C44,C11
32359,AA,2417,SFO,DFW,2024-06-19 11:25:00,2024-06-19 17:00:00,B32,B38
32360,UA,1456,IAH,SFO,2024-06-19 11:27:00,2024-06-19 13:33:00,E26,A29
32361,DL,745,SFO,DTW,2024-06-19 11:22:00,2024-06-19 18:55:00,C44,E25
32362,VX,218,SFO,AUS,2024-06-19 11:24:00,2024-06-19 16:57:00,B30,D27
32363,UA,331,BOS,SFO,2024-06-19 11:30:00,2024-06-19 14:45:00,D13,E1
32364,VX,204,SFO,ORD,2024-06-19 12:05:00,2024-06-19 18:17:00,B3,E20
32365,DL,430,JFK,SFO,2024-06-19 11:56:00,2024-06-19 15:12:00,D6,E27
32366,US,574,SFO,PHX,2024-06-19 11:51:00,2024-06-19 13:59:00,A36,A12
32367,OO,5435,SFO,OTH,2024-06-19 11:52:00,2024-06-19 13:29:00,C29,E32
32368,OO,6409,SLC,SFO,2024-06-19 12:28:00,2024-06-19 13:54:00,C34,D7
32369,UA,1060,SFO,IAH,2024-06-19 12:25:00,2024-06-19 18:50:00,D45,E28
32370,WN,4277,SFO,LAS,2024-06-19 12:16:00,2024-06-19 13:36:00,D28,B9
32371,VX,1178,SAN,SFO,2024-06-19 12:49:00,2024-06-19 14:17:00,B1,B11
32372,UA,1723,PDX,SFO,2024-06-19 12:22:00,2024-06-19 14:01:00,E24,B22
32373,OO,4975,SFO,SLC,2024-06-19 12:51:00,2024-06-19 15:50:00,A8,A15
32374,UA,1263,KOA,SFO,2024-06-19 12:52:00,2024-06-19 20:43:00,B2,C8
32375,OO,6301,SNA,SFO,2024-06-19 12:52:00,2024-06-19 14:18:00,E2,B40
32376,DL,2375,SFO,SLC,2024-06-19 13:17:00,2024-06-19 15:50:00,D40,C40
32377,UA,1912,SFO,SNA,2024-06-19 13:17:00,2024-06-19 14:42:00,D9,C38
32378,UA,1728,OGG,SFO,2024-06-19 13:03:00,2024-06-19 20:49:00,B11,C28
32379,UA,1938,SAN,SFO,2024-06-19 13:24:00,2024-06-19 14:49:00,E7,A36
32380,OO,6369,SFO,SAN,2024-06-19 13:17:00,2024-06-19 15:12:00,D5,D3
32381,OO,6408,SFO,EUG,2024-06-19 13:13:00,2024-06-19 14:52:00,B16,B12
32382,UA,611,ORD,SFO,2024-06-19 13:17:00,2024-06-19 15:41:00,B45,B4
32383,VX,714,SFO,DAL,2024-06-19 13:20:00,2024-06-19 18:58:00,E15,C49
32384,UA,1662,SFO,BOS,2024-06-19 13:50:00,2024-06-19 22:14:00,B44,B42
32385,US,433,SFO,PHL,2024-06-19 14:38:00,2024-06-19 22:31:00,B13,A30
32386,WN,4558,SFO,MKE,2024-06-19 13:38:00,2024-06-19 19:31:00,E16,E27
32387,US,407,PHX,SFO,2024-06-19 13:51:00,2024-06-19 15:41:00,D28,E6
32388,AA,330,DFW,SFO,2024-06-19 14:36:00,2024-06-19 16:12:00,C39,D1
32389,UA,1232,SFO,LAX,2024-06-19 14:22:00,2024-06-19 15:40:00,C43,B37
32390,AA,931,SFO,MIA,2024-06-19 14:12:00,2024-06-19 22:39:00,D12,C25
32391,UA,1914,SFO,IAH,2024-06-19 14:34:00,2024-06-19 20:26:00,A32,C41
32392,OO,6326,BOI,SFO,2024-06-19 14:17:00,2024-06-19 15:06:00,B30,E47
32393,UA,489,SFO,ORD,2024-06-19 14:57:00,2024-06-19 21:01:00,D7,D36
32394,DL,2349,SLC,SFO,2024-06-19 14:55:00,2024-06-19 15:56:00,C3,E33
32395,WN,1009,SFO,MDW,2024-06-19 15:04:00,2024-06-19 20:54:00,A9,E34
32396,DL,2105,SFO,MSP,2024-06-19 15:17:00,2024-06-19 20:32:00,D3,E38
32397,UA,735,DEN,SFO,2024-06-19 15:34:00,2024-06-19 17:00:00,E27,B32
32398,OO,5655,SFO,AUS,2024-06-19 15:15:00,2024-06-19 21:06:00,B30,B45
32399,WN,138,SFO,LAS,2024-06-19 15:47:00,2024-06-19 17:11:00,B43,E20
32400,UA,1673,LAX,SFO,2024-06-19 15:57:00,2024-06-19 17:09:00,B4,B40
32401,OO,6440,SFO,RNO,2024-06-19 15:33:00,2024-06-19 16:26:00,E9,E49
32402,WN,4125,SNA,SFO,2024-06-19 15:56:00,2024-06-19 17:06:00,A15,B9
32403,UA,1456,SFO,EWR,2024-06-19 15:50:00,2024-06-19 23:56:00,E50,C19
32404,UA,1257,IAH,SFO,2024-06-19 15:59:00,2024-06-19 17:44:00,C18,D32
32405,UA,390,SFO,ORD,2024-06-19 16:05:00,2024-06-19 21:58:00,C44,B49
32406,OO,5326,SMF,SFO,2024-06-19 16:05:00,2024-06-19 16:56:00,C27,B45
32407,US,477,SFO,PHX,2024-06-19 15:47:00,2024-06-19 17:40:00,C3,E39
32408,VX,909,LAS,SFO,2024-06-19 20:24:00,2024-06-19 22:12:00,B22,D24
32409,UA,681,ORD,SFO,2024-06-19 15:53:00,2024-06-19 18:22:00,B14,B29
32410,WN,772,SFO,PHX,2024-06-19 16:51:00,2024-06-19 18:40:00,D31,A31
32411,OO,6402,SFO,EUG,2024-06-19 17:08:00,2024-06-19 18:32:00,D36,D23
32412,OO,6238,SFO,LAX,2024-06-19 17:20:00,2024-06-19 18:46:00,A49,D8
32413,B6,633,BOS,SFO,2024-06-19 16:00:00,2024-06-19 19:42:00,E42,E36
32414,US,709,PHL,SFO,2024-06-19 16:56:00,2024-06-19 19:39:00,E18,A15
32415,UA,1149,SFO,IAD,2024-06-19 16:13:00,2024-06-20 00:07:00,E3,B19
32416,OO,6398,SAT,SFO,2024-06-19 16:20:00,2024-06-19 18:08:00,D17,C42
32417,DL,415,JFK,SFO,2024-06-19 16:24:00,2024-06-19 20:03:00,D35,E47
32418,US,2029,CLT,SFO,2024-06-19 16:34:00,2024-06-19 19:46:00,B17,B42
32419,VX,923,LAX,SFO,2024-06-19 16:32:00,2024-06-19 17:36:00,B21,C18
32420,OO,5645,SBA,SFO,2024-06-19 17:20:00,2024-06-19 18:26:00,C47,C7
32421,B6,2589,LAS,SFO,2024-06-19 16:50:00,2024-06-19 18:29:00,C20,C40
32422,F9,1360,SFO,PHX,2024-06-19 17:28:00,2024-06-19 19:24:00,E31,C23
32423,AA,2352,SFO,DFW,2024-06-19 17:02:00,2024-06-19 22:19:00,C5,D39
32424,UA,1684,SFO,LIH,2024-06-19 19:27:00,2024-06-19 21:49:00,E50,B6
32425,UA,1753,ORD,SFO,2024-06-19 17:03:00,2024-06-19 19:41:00,E38,C38
32426,AA,1624,ORD,SFO,2024-06-19 16:59:00,2024-06-19 19:24:00,A46,A4
32427,US,686,PHX,SFO,2024-06-19 17:00:00,2024-06-19 18:53:00,D14,E5
32428,UA,391,LAX,SFO,2024-06-19 17:18:00,2024-06-19 18:39:00,A43,C48
32429,OO,6268,FAT,SFO,2024-06-19 17:06:00,2024-06-19 17:59:00,A5,C31
32430,AS,387,SFO,PDX,2024-06-19 17:33:00,2024-06-19 19:09:00,E10,A15
32431,VX,193,EWR,SFO,2024-06-19 17:33:00,2024-06-19 21:13:00,E7,B32
32432,UA,1284,EWR,SFO,2024-06-19 19:11:00,2024-06-19 22:03:00,E49,B31
32433,UA,1723,SFO,KOA,2024-06-19 17:26:00,2024-06-19 19:37:00,E2,A21
32434,UA,512,JFK,SFO,2024-06-19 18:17:00,2024-06-19 22:01:00,D12,E37
32435,VX,960,SFO,SAN,2024-06-19 17:51:00,2024-06-19 19:17:00,E4,D25
32436,UA,401,IAH,SFO,2024-06-19 20:17:00,2024-06-19 22:15:00,E35,B43
32437,UA,715,STL,SFO,2024-06-19 20:36:00,2024-06-19 22:34:00,C18,D11
32438,OO,6407,SFO,SNA,2024-06-19 17:49:00,2024-06-19 19:19:00,B11,A3
32439,DL,1505,MSP,SFO,2024-06-19 17:52:00,2024-06-19 19:45:00,A10,D49
32440,UA,611,SFO,SEA,2024-06-19 20:28:00,2024-06-19 22:24:00,A48,E25
32441,OO,6294,MFR,SFO,2024-06-19 18:02:00,2024-06-19 19:22:00,A6,C11
32442,DL,715,SFO,SLC,2024-06-19 17:56:00,2024-06-19 20:28:00,A38,A43
32443,VX,918,SFO,LAS,2024-06-19 20:22:00,2024-06-19 21:41:00,E29,B47
32444,WN,4735,SFO,LAX,2024-06-19 19:47:00,2024-06-19 21:18:00,E42,E45
32445,DL,952,SFO,MSP,2024-06-19 19:19:00,2024-06-20 00:25:00,C15,D37
32446,AS,304,SEA,SFO,2024-06-19 19:37:00,2024-06-19 21:50:00,C38,B30
32447,VX,941,LAX,SFO,2024-06-19 18:31:00,2024-06-19 19:36:00,C9,C50
32448,UA,816,SFO,LAX,2024-06-19 18:42:00,2024-06-19 19:59:00,B36,D48
32449,OO,5538,SFO,TUS,2024-06-19 18:38:00,2024-06-19 20:41:00,E15,A49
32450,AA,1393,DFW,SFO,2024-06-19 20:44:00,2024-06-19 22:23:00,A21,B42
32451,VX,29,JFK,SFO,2024-06-19 18:48:00,2024-06-19 22:09:00,A41,B9
32452,VX,357,BOS,SFO,2024-06-19 18:51:00,2024-06-19 22:23:00,C39,E44
32453,OO,5549,BFL,SFO,2024-06-19 18:57:00,2024-06-19 20:07:00,A14,B17
32454,UA,1637,SFO,SEA,2024-06-19 19:09:00,2024-06-19 21:07:00,D42,D33
32455,OO,5161,SFO,SLC,2024-06-19 19:16:00,2024-06-19 22:03:00,E24,C38
32456,UA,1670,SFO,HNL,2024-06-19 19:37:00,2024-06-19 22:08:00,C10,C19
32457,AS,337,SFO,SEA,2024-06-19 19:38:00,2024-06-19 21:39:00,B37,A16
32458,UA,1608,ATL,SFO,2024-06-19 20:37:00,2024-06-19 22:47:00,C16,E24
32459,DL,2209,MSP,SFO,2024-06-19 20:08:00,2024-06-19 22:18:00,A16,D6
32460,B6,2689,LAS,SFO,2024-06-19 20:12:00,2024-06-19 21:46:00,D12,C3
32461,WN,2336,MKE,SFO,2024-06-19 23:05:00,2024-06-20 02:19:00,A36,E21
32462,OO,6432,SNA,SFO,2024-06-19 19:53:00,2024-06-19 21:14:00,E27,E32
32463,WN,2959,SFO,LAS,2024-06-19 20:09:00,2024-06-19 21:25:00,D8,D15
32464,UA,751,SFO,SEA,2024-06-19 20:06:00,2024-06-19 22:08:00,A44,D26
32465,AA,1615,ORD,SFO,2024-06-19 20:37:00,2024-06-19 23:22:00,B9,A18
32466,US,436,PHX,SFO,2024-06-19 21:33:00,2024-06-19 23:25:00,E6,C33
32467,WN,209,LAS,SFO,2024-06-19 21:55:00,2024-06-19 23:18:00,C36,C27
32468,OO,6398,SFO,FAT,2024-06-19 21:36:00,2024-06-19 22:34:00,B9,C39
32469,US,635,SFO,PHX,2024-06-19 20:41:00,2024-06-19 22:43:00,E31,B8
32470,UA,1175,ORD,SFO,2024-06-19 21:27:00,2024-06-19 23:52:00,C42,D3
32471,UA,396,HNL,SFO,2024-06-19 20:57:00,2024-06-20 05:00:00,A44,C2
32472,OO,5615,SBA,SFO,2024-06-19 21:14:00,2024-06-19 22:19:00,D12,E1
32473,UA,704,SFO,JFK,2024-06-19 21:00:00,2024-06-20 05:01:00,B7,D47
32474,DL,2240,SFO,JFK,2024-06-19 21:15:00,2024-06-20 05:23:00,C7,D48
32475,UA,1641,OGG,SFO,2024-06-19 21:32:00,2024-06-20 05:16:00,A27,D38
32476,DL,2381,SLC,SFO,2024-06-19 22:39:00,2024-06-19 23:27:00,E12,E42
32477,UA,423,DEN,SFO,2024-06-19 22:14:00,2024-06-19 23:45:00,D6,C32
32478,WN,442,DEN,SFO,2024-06-19 22:36:00,2024-06-20 00:03:00,E8,E38
32479,WN,298,SFO,PHX,2024-06-19 23:45:00,2024-06-20 01:28:00,B2,A30
32480,UA,362,SFO,CLE,2024-06-19 22:34:00,2024-06-20 05:53:00,C29,B33
32481,UA,824,SFO,JFK,2024-06-19 23:14:00,2024-06-20 07:50:00,D36,A17
32482,UA,1608,SFO,EWR,2024-06-19 01:06:00,2024-06-19 09:12:00,D23,E11
32483,OO,5523,SFO,ACV,2024-06-19 22:31:00,2024-06-19 23:55:00,C27,A47
32484,OO,5414,SFO,RDM,2024-06-19 23:13:00,2024-06-20 00:50:00,E50,A37
32485,UA,1263,SFO,PIT,2024-06-19 23:10:00,2024-06-20 07:05:00,B50,D41
32486,UA,1947,SFO,PHL,2024-06-19 22:54:00,2024-06-20 07:11:00,B10,D18
32487,DL,2521,SFO,JFK,2024-06-19 23:14:00,2024-06-20 07:40:00,E35,A30
32488,UA,1521,SFO,SEA,2024-06-19 23:25:00,2024-06-20 01:30:00,C30,E28
32489,OO,5648,SFO,SBA,2024-06-19 23:03:00,2024-06-20 00:13:00,A21,C9
32490,VX,34,SFO,JFK,2024-06-19 23:14:00,2024-06-20 07:41:00,B17,D41
32491,UA,1717,SFO,ORD,2024-06-19 00:03:00,2024-06-19 06:00:00,C44,E4
32492,DL,754,SFO,ATL,2024-06-19 23:41:00,2024-06-20 07:09:00,A33,A42
32493,AA,1051,SFO,DFW,2024-06-20 01:00:00,2024-06-20 06:20:00,A45,E13
32494,OO,5460,RDD,SFO,2024-06-20 05:32:00,2024-06-20 06:45:00,C8,A28
32495,UA,1268,BOS,SFO,2024-06-20 06:02:00,2024-06-20 09:21:00,C23,C46
32496,UA,1593,SFO,EWR,2024-06-20 05:55:00,2024-06-20 14:15:00,B31,E10
32497,AS,320,SEA,SFO,2024-06-20 06:02:00,2024-06-20 08:05:00,A1,A12
32498,UA,361,PHX,SFO,2024-06-20 06:00:00,2024-06-20 07:49:00,A7,D44
32499,OO,5456,RDM,SFO,2024-06-20 06:08:00,2024-06-20 07:40:00,B15,E46
32500,OO,5629,PSP,SFO,2024-06-20 06:25:00,2024-06-20 08:22:00,E21,A35
32501,UA,1449,SFO,LAS,2024-06-20 06:32:00,2024-06-20 07:50:00,C32,A14
32502,UA,243,PHL,SFO,2024-06-20 06:26:00,2024-06-20 09:17:00,E28,E7
32503,AS,311,PSP,SFO,2024-06-20 06:35:00,2024-06-20 07:57:00,A24,C35
32504,OO,6502,SNA,SFO,2024-06-20 06:46:00,2024-06-20 08:32:00,E40,A31
32505,DL,854,SFO,DTW,2024-06-20 06:58:00,2024-06-20 14:14:00,B22,C29
32506,WN,3806,SAN,SFO,2024-06-20 06:56:00,2024-06-20 08:13:00,A11,E39
32507,OO,6343,BUR,SFO,2024-06-20 06:57:00,2024-06-20 08:46:00,D6,D43
32508,UA,1751,MCO,SFO,2024-06-20 07:20:00,2024-06-20 10:10:00,A49,B37
32509,AA,24,SFO,JFK,2024-06-20 07:39:00,2024-06-20 16:20:00,B15,E47
32510,WN,1746,LAS,SFO,2024-06-20 07:21:00,2024-06-20 08:40:00,A6,A8
32511,OO,6307,MSP,SFO,2024-06-20 07:14:00,2024-06-20 09:32:00,C44,B49
32512,UA,1900,ATL,SFO,2024-06-20 07:18:00,2024-06-20 09:19:00,B29,B46
32513,UA,1216,SFO,IAH,2024-06-20 07:23:00,2024-06-20 13:05:00,A28,A16
32514,VX,351,BOS,SFO,2024-06-20 07:15:00,2024-06-20 10:45:00,A33,C48
32515,VX,11,JFK,SFO,2024-06-20 07:27:00,2024-06-20 10:34:00,D16,A35
32516,VX,740,SFO,SEA,2024-06-20 07:25:00,2024-06-20 09:20:00,A21,B20
32517,VX,897,LAS,SFO,2024-06-20 07:28:00,2024-06-20 08:52:00,A6,A36
32518,US,403,PHX,SFO,2024-06-20 07:41:00,2024-06-20 09:36:00,B14,E43
32519,OO,5398,SFO,SMF,2024-06-20 07:40:00,2024-06-20 08:21:00,A17,E46
32520,AA,242,SFO,ORD,2024-06-20 07:53:00,2024-06-20 13:54:00,B27,C19
32521,B6,2288,SFO,LAS,2024-06-20 07:54:00,2024-06-20 09:13:00,E6,E40
32522,VX,174,SFO,EWR,2024-06-20 07:58:00,2024-06-20 16:04:00,A27,A33
32523,UA,1668,DEN,SFO,2024-06-20 07:59:00,2024-06-20 09:29:00,A34,D34
32524,UA,761,ORD,SFO,2024-06-20 08:14:00,2024-06-20 10:35:00,D27,E46
32525,UA,1458,SFO,DEN,2024-06-20 08:02:00,2024-06-20 11:28:00,E34,A23
32526,AA,36,SFO,DFW,2024-06-20 08:28:00,2024-06-20 13:46:00,A2,B32
32527,DL,414,SFO,JFK,2024-06-20 08:48:00,2024-06-20 17:21:00,E14,A46
32528,DL,745,DTW,SFO,2024-06-20 08:29:00,2024-06-20 10:19:00,B35,D18
32529,OO,4461,SLC,SFO,2024-06-20 08:24:00,2024-06-20 09:34:00,B50,B9
32530,OO,5632,SFO,EUG,2024-06-20 08:29:00,2024-06-20 09:55:00,E10,B33
32531,UA,1531,IAD,SFO,2024-06-20 08:51:00,2024-06-20 11:33:00,B43,A17
32532,UA,1250,SFO,IAH,2024-06-20 08:53:00,2024-06-20 14:43:00,C28,C7
32533,WN,994,MDW,SFO,2024-06-20 08:51:00,2024-06-20 11:17:00,C23,D32
32534,F9,1106,SFO,IAH,2024-06-20 08:43:00,2024-06-20 15:16:00,E16,D11
32535,WN,3986,LAX,SFO,2024-06-20 08:59:00,2024-06-20 10:26:00,A36,B46
32536,WN,3807,SFO,SNA,2024-06-20 09:00:00,2024-06-20 10:19:00,E7,C7
32537,UA,663,SFO,HNL,2024-06-20 09:04:00,2024-06-20 11:18:00,A43,A37
32538,OO,6373,SFO,DFW,2024-06-20 09:16:00,2024-06-20 14:50:00,C41,C14
32539,AS,383,SFO,PDX,2024-06-20 09:38:00,2024-06-20 11:26:00,B44,A9
32540,UA,1721,SFO,KOA,2024-06-20 09:09:00,2024-06-20 11:29:00,A18,C50
32541,UA,361,SFO,LIH,2024-06-20 09:10:00,2024-06-20 11:36:00,A19,A28
32542,WN,3993,SAN,SFO,2024-06-20 09:16:00,2024-06-20 10:41:00,A50,D32
32543,UA,1073,MCO,SFO,2024-06-20 09:38:00,2024-06-20 12:07:00,A34,D27
32544,UA,572,SFO,ORD,2024-06-20 09:55:00,2024-06-20 15:48:00,A33,C20
32545,VX,710,SFO,DAL,2024-06-20 09:53:00,2024-06-20 15:09:00,A21,A27
32546,UA,1135,SFO,RDU,2024-06-20 11:43:00,2024-06-20 19:34:00,B16,B38
32547,AS,303,SFO,SEA,2024-06-20 10:03:00,2024-06-20 12:01:00,E34,B41
32548,VX,1355,BOS,SFO,2024-06-20 10:05:00,2024-06-20 13:37:00,C31,A2
32549,B6,534,SFO,BOS,2024-06-20 11:03:00,2024-06-20 19:37:00,E14,A24
32550,OO,5325,RDM,SFO,2024-06-20 10:23:00,2024-06-20 12:05:00,B44,B42
32551,AA,179,JFK,SFO,2024-06-20 10:22:00,2024-06-20 13:19:00,A13,E1
32552,VX,23,JFK,SFO,2024-06-20 10:24:00,2024-06-20 13:33:00,C27,C17
32553,OO,5374,ONT,SFO,2024-06-20 10:20:00,2024-06-20 11:36:00,D6,E27
32554,OO,6336,RNO,SFO,2024-06-20 10:41:00,2024-06-20 11:43:00,E15,E46
32555,OO,5646,SFO,SBA,2024-06-20 10:40:00,2024-06-20 11:54:00,A38,E13
32556,OO,5454,SFO,SMF,2024-06-20 10:57:00,2024-06-20 11:44:00,C47,A9
32557,OO,5307,SFO,ONT,2024-06-20 10:54:00,2024-06-20 12:17:00,E5,C7
32558,UA,1960,SFO,PHL,2024-06-20 10:43:00,2024-06-20 18:52:00,A29,B37
32559,UA,1583,SFO,EWR,2024-06-20 10:53:00,2024-06-20 19:29:00,D28,E42
32560,VX,927,LAX,SFO,2024-06-20 10:51:00,2024-06-20 12:14:00,D7,E45
32561,UA,1268,SFO,IAD,2024-06-20 10:52:00,2024-06-20 19:08:00,A26,B39
32562,UA,1927,SFO,IAH,2024-06-20 11:15:00,2024-06-20 16:56:00,B44,B50
32563,AA,259,DFW,SFO,2024-06-20 11:07:00,2024-06-20 12:39:00,A44,D11
32564,WN,3987,SFO,LAX,2024-06-20 11:03:00,2024-06-20 12:25:00,A11,B1
32565,WN,4341,SFO,SAN,2024-06-20 11:19:00,2024-06-20 12:52:00,B46,A44
32566,AA,2417,SFO,DFW,2024-06-20 11:29:00,2024-06-20 16:45:00,C45,C12
32567,UA,653,SFO,LAX,2024-06-20 11:29:00,2024-06-20 12:57:00,E42,A13
32568,VX,218,SFO,AUS,2024-06-20 11:31:00,2024-06-20 16:59:00,E16,A40
32569,AS,306,SEA,SFO,2024-06-20 11:33:00,2024-06-20 13:54:00,B50,B46
32570,WN,2134,SAN,SFO,2024-06-20 11:40:00,2024-06-20 13:15:00,C26,E37
32571,UA,500,SFO,BOS,2024-06-20 11:59:00,2024-06-20 20:36:00,B31,A48
32572,US,574,SFO,PHX,2024-06-20 11:49:00,2024-06-20 13:51:00,D3,E47
32573,UA,1236,HNL,SFO,2024-06-20 12:04:00,2024-06-20 20:10:00,D1,B36
32574,DL,61,SFO,ATL,2024-06-20 12:06:00,2024-06-20 19:40:00,A8,C12
32575,OO,5435,SFO,OTH,2024-06-20 12:12:00,2024-06-20 13:37:00,C22,B5
32576,DL,430,JFK,SFO,2024-06-20 12:05:00,2024-06-20 15:04:00,B19,A8
32577,OO,6386,SFO,SMX,2024-06-20 12:18:00,2024-06-20 13:25:00,A27,E30
32578,WN,2222,SFO,LAX,2024-06-20 12:48:00,2024-06-20 14:03:00,C46,E22
32579,OO,6481,SFO,BUR,2024-06-20 12:46:00,2024-06-20 14:05:00,A4,E3
32580,UA,1635,LAS,SFO,2024-06-20 12:59:00,2024-06-20 14:44:00,B45,C31
32581,VX,251,LAS,SFO,2024-06-20 12:49:00,2024-06-20 14:23:00,D2,B8
32582,VX,933,LAX,SFO,2024-06-20 12:53:00,2024-06-20 13:59:00,A5,B29
32583,UA,724,HNL,SFO,2024-06-20 12:59:00,2024-06-20 21:03:00,C50,D9
32584,DL,1246,SFO,MSP,2024-06-20 12:56:00,2024-06-20 18:14:00,D42,E6
32585,US,1857,SFO,CLT,2024-06-20 12:57:00,2024-06-20 20:57:00,B5,E47
32586,UA,570,SFO,LAX,2024-06-20 12:58:00,2024-06-20 14:20:00,E4,C46
32587,UA,1950,SFO,CLE,2024-06-20 13:03:00,2024-06-20 20:20:00,E39,E12
32588,UA,1474,SFO,DEN,2024-06-20 14:43:00,2024-06-20 17:58:00,A48,D6
32589,UA,1263,KOA,SFO,2024-06-20 13:08:00,2024-06-20 21:18:00,E7,A39
32590,OO,6369,SFO,SAN,2024-06-20 13:12:00,2024-06-20 14:40:00,C42,E38
32591,UA,1662,SFO,BOS,2024-06-20 13:54:00,2024-06-20 22:30:00,C26,D31
32592,B6,416,SFO,JFK,2024-06-20 16:09:00,2024-06-21 00:36:00,A34,C46
32593,AA,259,SFO,DFW,2024-06-20 14:00:00,2024-06-20 19:16:00,C11,D15
32594,AA,241,ORD,SFO,2024-06-20 13:50:00,2024-06-20 16:52:00,C4,B21
32595,WN,2134,SFO,PHX,2024-06-20 13:58:00,2024-06-20 15:41:00,C20,B41
32596,UA,1686,SFO,DCA,2024-06-20 14:31:00,2024-06-20 22:27:00,D24,D20
32597,WN,2219,LAS,SFO,2024-06-20 14:22:00,2024-06-20 15:47:00,D35,D1
32598,UA,1176,HNL,SFO,2024-06-20 15:22:00,2024-06-20 23:26:00,D3,B36
32599,OO,5401,PSC,SFO,2024-06-20 14:29:00,2024-06-20 16:27:00,D12,B23
32600,VX,1354,SFO,BOS,2024-06-20 14:44:00,2024-06-20 23:18:00,B17,B47
32601,VX,90,SFO,IAD,2024-06-20 14:38:00,2024-06-20 22:29:00,B13,D13
32602,VX,958,SFO,SAN,2024-06-20 14:39:00,2024-06-20 16:06:00,D30,D32
32603,UA,1523,BOS,SFO,2024-06-20 14:52:00,2024-06-20 18:14:00,C47,B40
32604,AS,306,SFO,PSP,2024-06-20 14:47:00,2024-06-20 16:07:00,B12,A6
32605,DL,1593,MSP,SFO,2024-06-20 15:01:00,2024-06-20 16:50:00,A47,C43
32606,AA,20,SFO,JFK,2024-06-20 15:15:00,2024-06-21 00:07:00,C3,E22
32607,VX,715,DAL,SFO,2024-06-20 15:17:00,2024-06-20 16:44:00,E9,E24
32608,UA,390,SFO,ORD,2024-06-20 16:08:00,2024-06-20 22:07:00,E30,D48
32609,OO,6414,DFW,SFO,2024-06-20 15:32:00,2024-06-20 17:27:00,B28,A40
32610,AA,249,DFW,SFO,2024-06-20 15:35:00,2024-06-20 17:05:00,C16,E14
32611,UA,1257,IAH,SFO,2024-06-20 16:36:00,2024-06-20 18:25:00,A19,C11
32612,UA,1456,SFO,ATL,2024-06-20 15:56:00,2024-06-20 23:18:00,A26,B6
32613,WN,1955,SNA,SFO,2024-06-20 16:20:00,2024-06-20 17:33:00,D32,A7
32614,OO,5602,AUS,SFO,2024-06-20 16:02:00,2024-06-20 17:54:00,B47,E6
32615,B6,633,BOS,SFO,2024-06-20 16:02:00,2024-06-20 19:29:00,C18,A49
32616,UA,486,SFO,IAD,2024-06-20 16:15:00,2024-06-21 00:17:00,A47,E32
32617,OO,5638,SFO,SBA,2024-06-20 16:13:00,2024-06-20 17:31:00,A40,B29
32618,UA,529,SNA,SFO,2024-06-20 16:15:00,2024-06-20 17:36:00,B24,B18
32619,DL,415,JFK,SFO,2024-06-20 16:24:00,2024-06-20 19:56:00,C6,E12
32620,UA,564,MCO,SFO,2024-06-20 19:31:00,2024-06-20 21:50:00,E43,C31
32621,VX,923,LAX,SFO,2024-06-20 17:01:00,2024-06-20 18:07:00,B1,E14
32622,OO,6426,SFO,MSP,2024-06-20 16:39:00,2024-06-20 22:02:00,C27,D2
32623,WN,2223,SFO,LAS,2024-06-20 16:36:00,2024-06-20 17:58:00,A8,E48
32624,OO,5553,PDX,SFO,2024-06-20 16:53:00,2024-06-20 18:37:00,E36,D45
32625,WN,1796,PHX,SFO,2024-06-20 17:31:00,2024-06-20 19:17:00,B48,C6
32626,F9,1360,SFO,PHX,2024-06-20 16:46:00,2024-06-20 18:47:00,C2,C11
32627,OO,4976,SFO,STL,2024-06-20 17:06:00,2024-06-20 23:04:00,C4,C40
32628,AA,37,DFW,SFO,2024-06-20 16:55:00,2024-06-20 18:35:00,E2,B15
32629,VX,755,SEA,SFO,2024-06-20 17:05:00,2024-06-20 19:00:00,B31,C1
32630,DL,2760,LAX,SFO,2024-06-20 17:03:00,2024-06-20 18:36:00,E22,D35
32631,US,686,PHX,SFO,2024-06-20 16:58:00,2024-06-20 18:53:00,B24,B5
32632,UA,569,SFO,IAH,2024-06-20 17:09:00,2024-06-20 23:04:00,E44,E47
32633,OO,6268,FAT,SFO,2024-06-20 17:06:00,2024-06-20 17:56:00,A39,D45
32634,AS,387,SFO,PDX,2024-06-20 17:09:00,2024-06-20 18:38:00,D37,D8
32635,WN,3083,SNA,SFO,2024-06-20 17:31:00,2024-06-20 18:49:00,D16,C43
32636,UA,1731,IAH,SFO,2024-06-20 17:48:00,2024-06-20 19:47:00,C10,D3
32637,WN,3997,SFO,LAX,2024-06-20 17:44:00,2024-06-20 18:58:00,C4,A49
32638,WN,3990,LAX,SFO,2024-06-20 17:44:00,2024-06-20 18:55:00,B44,C10
32639,OO,5601,PHX,SFO,2024-06-20 17:50:00,2024-06-20 19:44:00,C12,B5
